sample	HRD	TelomericAI	LST	HRDsum
sample_001_PC	15	13	14	42
sample_002_PC	5	11	6	22
sample_003_PC	6	11	5	22
sample_004_PC	8	16	7	31
sample_005_PC	10	20	20	50
sample_006_PC	8	11	16	35
sample_007_PC	9	14	26	49
sample_008_PC	11	18	24	53
sample_009_PC	5	18	15	38
sample_010_PC	11	20	27	58
sample_011_PC	5	7	6	18
sample_012_PC	7	20	31	58
sample_013_PC	9	25	38	72
sample_014_PC	12	15	26	53
sample_015_PC	5	18	20	43
sample_016_PC	9	17	38	64
sample_017_PC	10	18	34	62
sample_018_PC	8	20	28	56
sample_019_PC	9	20	19	48
sample_020_PC	11	19	14	44
sample_021_PC	7	13	27	47
sample_022_PC	10	22	24	56
sample_023_PC	8	16	19	43
sample_024_PC	8	12	4	24
sample_025_PC	8	24	31	63
sample_026_PC	8	22	24	54
sample_027_PC	9	20	20	49
sample_028_PC	6	12	19	37
sample_029_PC	7	23	26	56
sample_030_PC	3	10	7	20
sample_031_PC	9	17	23	49
sample_032_PC	4	11	10	25
sample_033_PC	6	12	15	33
sample_034_PC	6	16	13	35
sample_035_PC	2	10	7	19
sample_036_PC	7	20	17	44
sample_037_PC	3	10	21	34
sample_038_PC	6	11	19	36
sample_039_PC	2	8	5	15
sample_040_PC	5	2	8	15
sample_041_PC	1	0	2	3
sample_042_PC	7	15	4	26
sample_043_PC	8	1	11	20
sample_044_PC	0	0	1	1
sample_045_PC	2	4	4	10
sample_046_PC	2	1	8	11
sample_047_PC	4	6	9	19
sample_048_PC	8	5	12	25
sample_049_PC	1	1	3	5
sample_050_PC	1	0	2	3
sample_051_PC	4	7	7	18
sample_052_PC	4	3	7	14
sample_053_PC	1	2	1	4
sample_054_PC	6	7	5	18
sample_055_PC	7	8	11	26
sample_056_PC	5	6	18	29
sample_057_PC	6	8	11	25
sample_058_PC	3	8	8	19
sample_059_PC	3	3	5	11
sample_060_PC	5	11	5	21
sample_061_PC	7	6	6	19
sample_062_PC	7	5	9	21
sample_063_PC	4	14	13	31
sample_064_PC	8	10	13	31
sample_065_PC	7	10	9	26
sample_066_PC	2	12	8	22
sample_067_PC	1	5	1	7
sample_068_PC	5	8	6	19
sample_069_PC	5	3	11	19
sample_070_PC	7	7	15	29
sample_071_PC	7	8	13	28
sample_072_PC	10	5	6	21
sample_073_PC	7	8	4	19
sample_074_PC	8	12	11	31
sample_075_PC	16	18	21	55
sample_076_PC	17	17	24	58
sample_077_PC	6	10	7	23
sample_078_PC	2	9	5	16
sample_079_PC	9	18	25	52
sample_080_PC	11	17	27	55
sample_081_PC	9	17	29	55
sample_082_PC	8	4	10	22
sample_083_PC	7	8	12	27
sample_084_PC	7	12	24	43
sample_085_PC	12	18	18	48
sample_086_PC	4	8	9	21
sample_087_PC	9	12	11	32
sample_088_PC	11	13	17	41
sample_089_PC	9	12	12	33
sample_090_PC	9	14	14	37
sample_091_PC	8	11	8	27
sample_092_PC	8	13	8	29
sample_093_PC	8	13	9	30
sample_094_PC	10	11	16	37
sample_095_PC	7	8	15	30
sample_096_PC	2	8	8	18
sample_097_PC	6	12	11	29
sample_098_PC	5	12	13	30
sample_099_PC	7	10	14	31
sample_100_PC	8	10	14	32
sample_101_PC	7	10	14	31
sample_102_PC	8	11	12	31
sample_103_PC	5	7	2	14
sample_104_PC	12	12	14	38
sample_105_PC	10	16	15	41
sample_106_PC	5	6	12	23
sample_107_PC	10	10	13	33
sample_108_PC	8	18	22	48
sample_109_PC	5	15	10	30
sample_110_PC	4	12	7	23
sample_111_PC	5	12	6	23
sample_112_PC	5	17	8	30
sample_113_PC	8	17	18	43
sample_114_PC	9	18	16	43
sample_115_PC	3	9	10	22
sample_116_PC	3	10	9	22
sample_117_PC	11	12	10	33
sample_118_PC	8	14	6	28
sample_119_PC	7	12	11	30
sample_120_PC	7	15	8	30
sample_121_PC	11	10	15	36
sample_122_PC	10	14	15	39
sample_123_PC	5	10	11	26
sample_124_PC	8	17	15	40
sample_125_PC	8	7	6	21
sample_126_PC	2	1	5	8
sample_127_PC	10	13	12	35
sample_128_PC	4	5	6	15
sample_154_PC	15	25	30	70
